,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
10,10,-422.8994,44.353523,15.391832,18.066824,0.18525015,5.8922186,-3.8207362,0.56560546,-9.667886,0.9124407,-9.353982,-0.69625044,-8.09626,-2.3504667,-3.2781096,-10.203645,-0.74604505,-6.3628116,-6.105591,-7.2233763,-3.8599572,-4.11958,0.77214414,-0.395001,1.4471362,0.07836808,-2.791758,-2.791233,-3.0585244,-0.5672743,3.5843542,3.6846333,4.5165358,3.6718087,0.1441948,0.83601683,-2.441063,-0.99892354,-1.6429935,-0.6676757,1
11,11,-438.56894,43.824226,14.876443,17.246971,5.1916347,8.0412245,-0.7059373,-0.6955184,-4.1244864,1.7575709,-5.2331786,-1.3159257,-5.800944,-2.1431134,-3.1508946,-7.457072,-2.8835166,-5.750135,-6.0871387,-7.3358493,-4.2657065,-5.3580623,-3.3810272,-2.9352436,-1.2572094,-0.7366532,-0.15795769,-0.4491602,-2.1378443,-1.9339728,-1.6816256,-1.1612321,0.45112017,1.5014149,1.1340957,2.3914971,2.0019045,1.8433111,-0.06393157,-1.8370277,1
12,12,-405.3559,58.487694,21.132196,20.448626,5.328466,7.4945884,-0.43440175,-1.1748048,-7.2397876,-1.0617043,-4.279329,-3.3989646,-7.6198936,-2.6809661,-4.430078,-8.465659,-3.2039196,-7.3155236,-6.4321666,-7.349751,-5.9176474,-5.080859,-2.7569506,-3.2920053,-1.5137949,-0.45522356,-1.8876544,-2.071834,-4.3897433,-3.8862348,-2.873901,-3.154698,-2.1241775,-1.8198951,-0.6825571,0.871359,1.944012,2.7520893,1.2659234,-0.21109225,1
13,13,-385.2782,77.18537,31.694122,25.867737,1.439386,5.420837,-4.6119475,-3.5676193,-11.682499,-1.7316597,-7.526151,-3.5744367,-10.787128,-4.8411407,-5.2534275,-10.784698,-2.9409983,-7.8320312,-5.73525,-6.9747458,-5.7702928,-4.4773655,-1.5336906,-2.3717225,-0.16515714,-0.8073951,-1.9436702,-2.3727846,-4.179529,-3.2674003,-2.2115402,-3.4138992,-3.0304964,-2.1854856,-2.2496612,0.29479083,0.26319826,0.3777802,0.11813132,2.489975,1
14,14,-390.13974,65.464615,26.522638,25.173925,3.0821917,5.742022,-4.131986,-1.4710088,-8.536025,0.54425853,-6.7683916,-2.2979898,-8.831673,-2.0261555,-4.155252,-10.279571,-2.7673147,-6.797652,-5.9970694,-8.084893,-4.91672,-5.7352486,-2.0066576,-2.8115067,-1.0328873,-0.7267444,-2.1434948,-3.051417,-5.095735,-5.120525,-2.8967257,-2.0982263,-0.66407317,2.3668745,2.0327108,3.886961,1.0887673,-0.9708576,-3.607278,-3.0934021,1
15,15,-391.84033,52.436913,13.369794,16.86561,-0.80777544,4.162036,-4.6034436,1.3056366,-9.834419,0.4647852,-5.9460783,-0.8760462,-8.482397,-1.7656164,-3.2697895,-9.194877,-1.6796868,-6.993764,-4.805759,-5.9368963,-3.3384178,-4.219238,-0.3788949,-0.79744476,0.3787195,0.2510936,-1.7826872,-2.0902815,-2.971295,-2.8631024,-0.2430861,-1.6772192,-1.753787,-0.8286394,-1.7118096,0.54735756,-0.55390483,0.5581189,-0.068855874,0.40982884,1
16,16,-384.69708,56.87066,21.961065,21.314991,4.9277134,9.179517,-0.41650155,1.489237,-7.7958913,1.3328952,-3.8808217,-2.379228,-8.893652,-2.5490701,-4.9700823,-10.001531,-5.1928935,-8.218925,-4.8004646,-7.2521143,-3.9706247,-2.921054,-0.18380386,-3.018041,-3.2929585,-5.451662,-5.9514656,-3.4203467,-4.3533072,-4.0641937,-3.8788185,-4.1597376,-2.1714792,1.4422034,2.048447,2.1836777,1.4854919,1.8055214,-0.93790233,-1.9768318,1
17,17,-379.4885,61.849854,17.282198,24.281168,-0.33983508,2.9120204,-1.6656635,-1.2166492,-9.498428,0.8621715,-6.9939113,0.79859114,-10.469341,-2.8175516,-2.7462258,-10.658102,-1.6464219,-8.193551,-6.5863633,-7.3330894,-3.7362893,-5.2855315,-0.6488441,-0.6454222,0.5315261,1.5112815,-1.2549095,-1.7589812,-3.0407133,-2.7537646,-1.5174751,-1.8809493,-1.280969,-1.2427865,-1.7039742,1.1719632,0.4611609,2.0669274,0.31656376,-0.17488673,1
18,18,-393.7325,52.20718,13.694789,23.348343,0.4645691,4.578743,-2.4338763,0.9229161,-8.958291,1.5278527,-7.041069,-0.6581282,-8.415101,-2.550091,-4.4191465,-10.185816,-2.293958,-9.192366,-5.1357965,-7.6424394,-5.2895184,-4.633972,-1.2009706,-1.831932,0.10971961,-1.2185986,-4.086002,-3.550587,-2.5991604,0.78951156,4.531316,5.0965514,3.1286952,0.9366362,-2.0622687,-1.4262536,-2.8192716,-0.24831998,-0.46306387,-1.2813623,1
19,19,-365.2916,68.03564,22.623625,25.628798,0.7745662,3.3358617,-4.5239744,-1.8511144,-10.815621,-0.08153933,-7.523639,-2.1913471,-10.131466,-3.3013237,-4.943152,-10.465758,-3.559932,-9.37004,-5.8721466,-8.02308,-4.4772573,-4.822725,-0.9685322,-2.2878802,-0.73929614,-1.2982934,-4.344317,-3.3418436,-4.1646986,-4.0427275,-1.7552972,-2.6053057,-2.2676537,-0.056383103,-1.3226392,1.2471988,0.061685182,0.8801593,-0.20146972,-1.2453389,1
